num,pattern
01,https://ichigojam.github.io/dot2bas/#eca4a4a4a4a4ee00
23,https://ichigojam.github.io/dot2bas/#ee2222ee8282ee00
45,https://ichigojam.github.io/dot2bas/#aea8a8ee22222e00
67,https://ichigojam.github.io/dot2bas/#8e8282e2a2a2e200
89,https://ichigojam.github.io/dot2bas/#eeaaaaeea2a2e200
AB,https://ichigojam.github.io/dot2bas/#4caaaaaceaaaae00
CD,https://ichigojam.github.io/dot2bas/#6c8a8a8a8a8a6c00
EF,https://ichigojam.github.io/dot2bas/#ee8888ee8888e800
