num,hex
0,7F417F
1,417F40
2,79494F
3,49497F
4,0F087F
5,4F4979
6,7F4878
7,01017F
8,7F497F
9,0F097F
A,7E117E
B,7F4976
C,3E4141
D,7F413E
E,7F4949
F,7F0909
