num,hex
0,EAAAAAE0
1,C44444E0
2,E22E88E0
3,E22E22E0
4,AAAE2220
5,E88E22E0
6,888EAAE0
7,E2222220
8,EAAEAAE0
9,EAAE2220
A,4AAAEAA0
B,CAACAAE0
C,68888860
D,CAAAAAC0
E,E88E88E0
F,E88E8880
